character,jlpt_level,grade,stroke_count,onyomi,kunyomi,meaning_english,meaning_hindi,radical,radical_meaning,mnemonic,kanjivg_id,audio_url,frequency_rank,tags,example_words
日,N5,1,4,ニチ|ジツ,ひ|か,sun / day,सूरज / दिन,日,sun,The sun rises every day — 日 looks like a window with the sun shining through,,, 1,time|nature,"[{""word"":""日本"",""reading"":""にほん"",""meaning"":""Japan""},{""word"":""毎日"",""reading"":""まいにち"",""meaning"":""every day""}]"
月,N5,1,4,ゲツ|ガツ,つき,moon / month,चाँद / महीना,月,moon,The moon has a crescent shape — 月 looks like a crescent,,,3,time|nature,"[{""word"":""月曜日"",""reading"":""げつようび"",""meaning"":""Monday""},{""word"":""三月"",""reading"":""さんがつ"",""meaning"":""March""}]"
火,N5,1,4,カ,ひ,fire,आग,火,fire,Flames rising up — 火 looks like fire leaping,,,5,nature|element,"[{""word"":""火曜日"",""reading"":""かようび"",""meaning"":""Tuesday""},{""word"":""花火"",""reading"":""はなび"",""meaning"":""fireworks""}]"
水,N5,1,4,スイ,みず,water,पानी,水,water,Water flowing — 水 looks like ripples,,,2,nature|element,"[{""word"":""水曜日"",""reading"":""すいようび"",""meaning"":""Wednesday""},{""word"":""水泳"",""reading"":""すいえい"",""meaning"":""swimming""}]"
木,N5,1,4,モク|ボク,き|こ,tree / wood,पेड़,木,tree,A tree with roots and branches,,,4,nature,"[{""word"":""木曜日"",""reading"":""もくようび"",""meaning"":""Thursday""},{""word"":""木材"",""reading"":""もくざい"",""meaning"":""wood/lumber""}]"
金,N5,1,8,キン|コン,かね|かな,gold / money / metal,सोना / पैसा,金,metal,Gold nuggets in the ground — a king sits on a gold throne,,,6,money|nature,"[{""word"":""金曜日"",""reading"":""きんようび"",""meaning"":""Friday""},{""word"":""お金"",""reading"":""おかね"",""meaning"":""money""}]"
土,N5,1,3,ド|ト,つち,earth / soil / ground,मिट्टी,土,earth,Ground level — a cross in the earth,,,7,nature|element,"[{""word"":""土曜日"",""reading"":""どようび"",""meaning"":""Saturday""},{""word"":""土地"",""reading"":""とち"",""meaning"":""land""}]"
山,N5,1,3,サン,やま,mountain,पहाड़,山,mountain,Three peaks of a mountain,,,8,nature,"[{""word"":""富士山"",""reading"":""ふじさん"",""meaning"":""Mt. Fuji""},{""word"":""山田"",""reading"":""やまだ"",""meaning"":""Yamada (surname)""}]"
川,N5,1,3,セン,かわ,river,नदी,川,river,Three vertical lines like water flowing downstream,,,9,nature,"[{""word"":""川"",""reading"":""かわ"",""meaning"":""river""},{""word"":""小川"",""reading"":""おがわ"",""meaning"":""stream""}]"
人,N5,1,2,ジン|ニン,ひと,person / human,व्यक्ति,人,person,A person walking — two legs,,,10,people,"[{""word"":""人間"",""reading"":""にんげん"",""meaning"":""human being""},{""word"":""外国人"",""reading"":""がいこくじん"",""meaning"":""foreigner""}]"
